STATISTICS: 
Misses:
Total: 8 DataReads: 2 DataWrites: 6
Miss rate:
Total: 0.470588 DataReads: 0.5 DataWrites: 0.461538
Number of Dirty Blocks Evicted From the Cache: 4

CACHE CONTENTS
Set   V    Tag    Dirty    Word0      Word1      Word2      Word3      Word4      Word5      Word6      Word7   
d     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
d     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
d     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
e     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
e     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
e     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
e     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
f     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
f     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
f     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
f     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
10     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
10     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
10     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
10     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
11     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
11     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
11     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
11     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
12     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
12     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
12     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
12     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
13     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
13     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
13     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
13     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
14     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
14     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
14     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
14     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
15     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
15     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
15     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
15     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
16     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
16     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
16     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
16     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
17     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
17     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
17     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
17     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
18     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
18     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
18     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
18     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
19     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
19     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
19     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
19     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1a     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1a     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1a     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1a     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1b     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1b     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1b     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1b     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1c     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1c     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1c     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1c     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1d     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1d     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1d     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1d     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1e     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1e     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1e     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1e     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1f     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1f     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1f     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   
1f     0   00000000    0    00000000   00000000   00000000   00000000   00000000   00000000   00000000   00000000   

MAIN MEMORY: 
Address    Words 
003f7f00   003f7f00  003f7f04  003f7f08  003f7f0c  003f7f10  003f7f14  003f7f18  003f7f1c  
003f7f20   003f7f20  003f7f24  003f7f28  003f7f2c  003f7f30  003f7f34  003f7f38  003f7f3c  
003f7f40   003f7f40  003f7f44  003f7f48  003f7f4c  003f7f50  003f7f54  003f7f58  003f7f5c  
003f7f60   003f7f60  003f7f64  003f7f68  003f7f6c  003f7f70  003f7f74  003f7f78  003f7f7c  
003f7f80   003f7f80  003f7f84  003f7f88  003f7f8c  003f7f90  003f7f94  003f7f98  003f7f9c  
003f7fa0   003f7fa0  003f7fa4  003f7fa8  003f7fac  003f7fb0  003f7fb4  003f7fb8  003f7fbc  
003f7fc0   003f7fc0  003f7fc4  003f7fc8  003f7fcc  003f7fd0  003f7fd4  003f7fd8  003f7fdc  
003f7fe0   003f7fe0  003f7fe4  003f7fe8  003f7fec  003f7ff0  003f7ff4  003f7ff8  003f7ffc  
003f8000   003f8000  66666666  003f8008  55555555  11111111  22222222  33333333  44444444  
003f8020   003f8020  003f8024  003f8028  003f802c  003f8030  003f8034  003f8038  003f803c  
003f8040   003f8040  003f8044  003f8048  003f804c  003f8050  003f8054  003f8058  003f805c  
003f8060   003f8060  003f8064  003f8068  003f806c  003f8070  003f8074  003f8078  003f807c  
003f8080   003f8080  003f8084  003f8088  003f808c  003f8090  003f8094  003f8098  003f809c  
003f80a0   003f80a0  003f80a4  003f80a8  003f80ac  003f80b0  003f80b4  003f80b8  003f80bc  
003f80c0   003f80c0  003f80c4  003f80c8  003f80cc  003f80d0  003f80d4  003f80d8  003f80dc  
003f80e0   003f80e0  003f80e4  003f80e8  003f80ec  003f80f0  003f80f4  003f80f8  003f80fc  
003f8100   003f8100  003f8104  003f8108  003f810c  003f8110  003f8114  003f8118  003f811c  
003f8120   003f8120  003f8124  003f8128  003f812c  003f8130  003f8134  003f8138  003f813c  
003f8140   003f8140  003f8144  003f8148  003f814c  003f8150  003f8154  003f8158  003f815c  
003f8160   003f8160  003f8164  003f8168  003f816c  003f8170  003f8174  003f8178  003f817c  
003f8180   003f8180  003f8184  003f8188  003f818c  003f8190  003f8194  003f8198  003f819c  
003f81a0   003f81a0  003f81a4  003f81a8  003f81ac  003f81b0  003f81b4  003f81b8  003f81bc  
003f81c0   003f81c0  003f81c4  003f81c8  003f81cc  003f81d0  003f81d4  003f81d8  003f81dc  
003f81e0   003f81e0  003f81e4  003f81e8  003f81ec  003f81f0  003f81f4  003f81f8  003f81fc  
003f8200   003f8200  003f8204  003f8208  003f820c  003f8210  003f8214  003f8218  003f821c  
003f8220   003f8220  003f8224  003f8228  003f822c  003f8230  003f8234  003f8238  003f823c  
003f8240   003f8240  003f8244  003f8248  003f824c  003f8250  003f8254  003f8258  003f825c  
003f8260   003f8260  003f8264  003f8268  003f826c  003f8270  003f8274  003f8278  003f827c  
003f8280   003f8280  003f8284  003f8288  003f828c  003f8290  003f8294  003f8298  003f829c  
003f82a0   003f82a0  003f82a4  003f82a8  003f82ac  003f82b0  003f82b4  003f82b8  003f82bc  
003f82c0   003f82c0  003f82c4  003f82c8  003f82cc  003f82d0  003f82d4  003f82d8  003f82dc  
003f82e0   003f82e0  003f82e4  003f82e8  003f82ec  003f82f0  003f82f4  003f82f8  003f82fc  
003f8300   003f8300  003f8304  003f8308  003f830c  003f8310  003f8314  003f8318  003f831c  
003f8320   003f8320  003f8324  003f8328  003f832c  003f8330  003f8334  003f8338  003f833c  
003f8340   003f8340  003f8344  003f8348  003f834c  003f8350  003f8354  003f8358  003f835c  
003f8360   003f8360  003f8364  003f8368  003f836c  003f8370  003f8374  003f8378  003f837c  
003f8380   003f8380  003f8384  003f8388  003f838c  003f8390  003f8394  003f8398  003f839c  
003f83a0   003f83a0  003f83a4  003f83a8  003f83ac  003f83b0  003f83b4  003f83b8  003f83bc  
003f83c0   003f83c0  003f83c4  003f83c8  003f83cc  003f83d0  003f83d4  003f83d8  003f83dc  
003f83e0   003f83e0  003f83e4  003f83e8  003f83ec  003f83f0  003f83f4  003f83f8  003f83fc  
003f8400   003f8400  003f8404  003f8408  003f840c  003f8410  003f8414  003f8418  003f841c  
003f8420   003f8420  003f8424  003f8428  003f842c  003f8430  003f8434  003f8438  003f843c  
003f8440   003f8440  003f8444  003f8448  003f844c  003f8450  003f8454  003f8458  003f845c  
003f8460   003f8460  003f8464  003f8468  003f846c  003f8470  003f8474  003f8478  003f847c  
003f8480   003f8480  003f8484  003f8488  003f848c  003f8490  003f8494  003f8498  003f849c  
003f84a0   003f84a0  003f84a4  003f84a8  003f84ac  003f84b0  003f84b4  003f84b8  003f84bc  
003f84c0   003f84c0  003f84c4  003f84c8  003f84cc  003f84d0  003f84d4  003f84d8  003f84dc  
003f84e0   003f84e0  003f84e4  003f84e8  003f84ec  003f84f0  003f84f4  003f84f8  003f84fc  
003f8500   003f8500  003f8504  003f8508  003f850c  003f8510  003f8514  003f8518  003f851c  
003f8520   003f8520  003f8524  003f8528  003f852c  003f8530  003f8534  003f8538  003f853c  
003f8540   003f8540  003f8544  003f8548  003f854c  003f8550  003f8554  003f8558  003f855c  
003f8560   003f8560  003f8564  003f8568  003f856c  003f8570  003f8574  003f8578  003f857c  
003f8580   003f8580  003f8584  003f8588  003f858c  003f8590  003f8594  003f8598  003f859c  
003f85a0   003f85a0  003f85a4  003f85a8  003f85ac  003f85b0  003f85b4  003f85b8  003f85bc  
003f85c0   003f85c0  003f85c4  003f85c8  003f85cc  003f85d0  003f85d4  003f85d8  003f85dc  
003f85e0   003f85e0  003f85e4  003f85e8  003f85ec  003f85f0  003f85f4  003f85f8  003f85fc  
003f8600   003f8600  003f8604  003f8608  003f860c  003f8610  003f8614  003f8618  003f861c  
003f8620   003f8620  003f8624  003f8628  003f862c  003f8630  003f8634  003f8638  003f863c  
003f8640   003f8640  003f8644  003f8648  003f864c  003f8650  003f8654  003f8658  003f865c  
003f8660   003f8660  003f8664  003f8668  003f866c  003f8670  003f8674  003f8678  003f867c  
003f8680   003f8680  003f8684  003f8688  003f868c  003f8690  003f8694  003f8698  003f869c  
003f86a0   003f86a0  003f86a4  003f86a8  003f86ac  003f86b0  003f86b4  003f86b8  003f86bc  
003f86c0   003f86c0  003f86c4  003f86c8  003f86cc  003f86d0  003f86d4  003f86d8  003f86dc  
003f86e0   003f86e0  003f86e4  003f86e8  003f86ec  003f86f0  003f86f4  003f86f8  003f86fc  
003f8700   003f8700  003f8704  003f8708  003f870c  003f8710  003f8714  003f8718  003f871c  
003f8720   003f8720  003f8724  003f8728  003f872c  003f8730  003f8734  003f8738  003f873c  
003f8740   003f8740  003f8744  003f8748  003f874c  003f8750  003f8754  003f8758  003f875c  
003f8760   003f8760  003f8764  003f8768  003f876c  003f8770  003f8774  003f8778  003f877c  
003f8780   003f8780  003f8784  003f8788  003f878c  003f8790  003f8794  003f8798  003f879c  
003f87a0   003f87a0  003f87a4  003f87a8  003f87ac  003f87b0  003f87b4  003f87b8  003f87bc  
003f87c0   003f87c0  003f87c4  003f87c8  003f87cc  003f87d0  003f87d4  003f87d8  003f87dc  
003f87e0   003f87e0  003f87e4  003f87e8  003f87ec  003f87f0  003f87f4  003f87f8  003f87fc  
003f8800   bbbbbbbb  003f8804  003f8808  003f880c  77777777  003f8814  003f8818  003f881c  
003f8820   003f8820  003f8824  003f8828  003f882c  003f8830  003f8834  003f8838  003f883c  
003f8840   003f8840  003f8844  003f8848  003f884c  003f8850  003f8854  003f8858  003f885c  
003f8860   003f8860  003f8864  003f8868  003f886c  003f8870  003f8874  003f8878  003f887c  
003f8880   003f8880  003f8884  003f8888  003f888c  003f8890  003f8894  003f8898  003f889c  
003f88a0   003f88a0  003f88a4  003f88a8  003f88ac  003f88b0  003f88b4  003f88b8  003f88bc  
003f88c0   003f88c0  003f88c4  003f88c8  003f88cc  003f88d0  003f88d4  003f88d8  003f88dc  
003f88e0   003f88e0  003f88e4  003f88e8  003f88ec  003f88f0  003f88f4  003f88f8  003f88fc  
003f8900   003f8900  003f8904  003f8908  003f890c  003f8910  003f8914  003f8918  003f891c  
003f8920   003f8920  003f8924  003f8928  003f892c  003f8930  003f8934  003f8938  003f893c  
003f8940   003f8940  003f8944  003f8948  003f894c  003f8950  003f8954  003f8958  003f895c  
003f8960   003f8960  003f8964  003f8968  003f896c  003f8970  003f8974  003f8978  003f897c  
003f8980   003f8980  003f8984  003f8988  003f898c  003f8990  003f8994  003f8998  003f899c  
003f89a0   003f89a0  003f89a4  003f89a8  003f89ac  003f89b0  003f89b4  003f89b8  003f89bc  
003f89c0   003f89c0  003f89c4  003f89c8  003f89cc  003f89d0  003f89d4  003f89d8  003f89dc  
003f89e0   003f89e0  003f89e4  003f89e8  003f89ec  003f89f0  003f89f4  003f89f8  003f89fc  
003f8a00   003f8a00  003f8a04  003f8a08  003f8a0c  003f8a10  003f8a14  003f8a18  003f8a1c  
003f8a20   003f8a20  003f8a24  003f8a28  003f8a2c  003f8a30  003f8a34  003f8a38  003f8a3c  
003f8a40   003f8a40  003f8a44  003f8a48  003f8a4c  003f8a50  003f8a54  003f8a58  003f8a5c  
003f8a60   003f8a60  003f8a64  003f8a68  003f8a6c  003f8a70  003f8a74  003f8a78  003f8a7c  
003f8a80   003f8a80  003f8a84  003f8a88  003f8a8c  003f8a90  003f8a94  003f8a98  003f8a9c  
003f8aa0   003f8aa0  003f8aa4  003f8aa8  003f8aac  003f8ab0  003f8ab4  003f8ab8  003f8abc  
003f8ac0   003f8ac0  003f8ac4  003f8ac8  003f8acc  003f8ad0  003f8ad4  003f8ad8  003f8adc  
003f8ae0   003f8ae0  003f8ae4  003f8ae8  003f8aec  003f8af0  003f8af4  003f8af8  003f8afc  
003f8b00   003f8b00  003f8b04  003f8b08  003f8b0c  003f8b10  003f8b14  003f8b18  003f8b1c  
003f8b20   003f8b20  003f8b24  003f8b28  003f8b2c  003f8b30  003f8b34  003f8b38  003f8b3c  
003f8b40   003f8b40  003f8b44  003f8b48  003f8b4c  003f8b50  003f8b54  003f8b58  003f8b5c  
003f8b60   003f8b60  003f8b64  003f8b68  003f8b6c  003f8b70  003f8b74  003f8b78  003f8b7c  
003f8b80   003f8b80  003f8b84  003f8b88  003f8b8c  003f8b90  003f8b94  003f8b98  003f8b9c  
003f8ba0   003f8ba0  003f8ba4  003f8ba8  003f8bac  003f8bb0  003f8bb4  003f8bb8  003f8bbc  
003f8bc0   003f8bc0  003f8bc4  003f8bc8  003f8bcc  003f8bd0  003f8bd4  003f8bd8  003f8bdc  
003f8be0   003f8be0  003f8be4  003f8be8  003f8bec  003f8bf0  003f8bf4  003f8bf8  003f8bfc  
003f8c00   003f8c00  003f8c04  003f8c08  003f8c0c  003f8c10  003f8c14  003f8c18  003f8c1c  
003f8c20   003f8c20  003f8c24  003f8c28  003f8c2c  003f8c30  003f8c34  003f8c38  003f8c3c  
003f8c40   003f8c40  003f8c44  003f8c48  003f8c4c  003f8c50  003f8c54  003f8c58  003f8c5c  
003f8c60   003f8c60  003f8c64  003f8c68  003f8c6c  003f8c70  003f8c74  003f8c78  003f8c7c  
003f8c80   003f8c80  003f8c84  003f8c88  003f8c8c  003f8c90  003f8c94  003f8c98  003f8c9c  
003f8ca0   003f8ca0  003f8ca4  003f8ca8  003f8cac  003f8cb0  003f8cb4  003f8cb8  003f8cbc  
003f8cc0   003f8cc0  003f8cc4  003f8cc8  003f8ccc  003f8cd0  003f8cd4  003f8cd8  003f8cdc  
003f8ce0   003f8ce0  003f8ce4  003f8ce8  003f8cec  003f8cf0  003f8cf4  003f8cf8  003f8cfc  
003f8d00   003f8d00  003f8d04  003f8d08  003f8d0c  003f8d10  003f8d14  003f8d18  003f8d1c  
003f8d20   003f8d20  003f8d24  003f8d28  003f8d2c  003f8d30  003f8d34  003f8d38  003f8d3c  
003f8d40   003f8d40  003f8d44  003f8d48  003f8d4c  003f8d50  003f8d54  003f8d58  003f8d5c  
003f8d60   003f8d60  003f8d64  003f8d68  003f8d6c  003f8d70  003f8d74  003f8d78  003f8d7c  
003f8d80   003f8d80  003f8d84  003f8d88  003f8d8c  003f8d90  003f8d94  003f8d98  003f8d9c  
003f8da0   003f8da0  003f8da4  003f8da8  003f8dac  003f8db0  003f8db4  003f8db8  003f8dbc  
003f8dc0   003f8dc0  003f8dc4  003f8dc8  003f8dcc  003f8dd0  003f8dd4  003f8dd8  003f8ddc  
003f8de0   003f8de0  003f8de4  003f8de8  003f8dec  003f8df0  003f8df4  003f8df8  003f8dfc  
003f8e00   003f8e00  003f8e04  003f8e08  003f8e0c  003f8e10  003f8e14  003f8e18  003f8e1c  
003f8e20   003f8e20  003f8e24  003f8e28  003f8e2c  003f8e30  003f8e34  003f8e38  003f8e3c  
003f8e40   003f8e40  003f8e44  003f8e48  003f8e4c  003f8e50  003f8e54  003f8e58  003f8e5c  
003f8e60   003f8e60  003f8e64  003f8e68  003f8e6c  003f8e70  003f8e74  003f8e78  003f8e7c  
003f8e80   003f8e80  003f8e84  003f8e88  003f8e8c  003f8e90  003f8e94  003f8e98  003f8e9c  
003f8ea0   003f8ea0  003f8ea4  003f8ea8  003f8eac  003f8eb0  003f8eb4  003f8eb8  003f8ebc  
003f8ec0   003f8ec0  003f8ec4  003f8ec8  003f8ecc  003f8ed0  003f8ed4  003f8ed8  003f8edc  
003f8ee0   003f8ee0  003f8ee4  003f8ee8  003f8eec  003f8ef0  003f8ef4  003f8ef8  003f8efc  
